id,phrase,polarityn,polarity,partofspeech,subjecttype,stemmed,polaritytype,personality,source
29893,scandalized,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29894,scandalous,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29895,scandalously,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29896,scandals,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29897,scant,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29898,scapegoat,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29899,scar,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29900,scarred,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29901,scarce,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29902,scarcely,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29903,scarcity,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
29904,scared,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29905,scarier,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29906,scariest,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29907,scarily,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29908,scars,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29909,scars,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29910,scary,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29911,scary,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29912,scathing,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29913,scathingly,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29914,scenic,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29915,scheme,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
29916,scheming,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29917,scholarly,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
29918,scoffingly,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29919,scolding,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29920,scoldingly,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29921,scorching,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29922,scorchingly,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29923,scornful,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29924,scornfully,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
29925,scoundrel,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29926,scourge,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29927,scowl,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29928,screaming,0,neutral,adj,strongsubj,False,priorpolarity,No,mpqa
29929,screamingly,0,neutral,adverb,strongsubj,False,priorpolarity,No,mpqa
29930,screech,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29931,scruples,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29932,scrupulous,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29933,scrupulously,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
29934,scrutiny,0,neutral,adj,strongsubj,False,priorpolarity,No,mpqa
29935,scrutiny,0,neutral,noun,strongsubj,False,priorpolarity,No,mpqa
29936,scum,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29937,scummy,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29938,seamless,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29939,seasoned,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29940,second-class,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29941,second-tier,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29942,secretive,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29943,secretive,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
29944,secure,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29945,securely,1,positive,adverb,weaksubj,False,priorpolarity,No,mpqa
29946,security,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29947,security,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
29948,sedentary,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29949,seductive,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29950,seedy,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29951,seething,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29952,selective,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
29953,self-coup,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29954,self-coup,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29955,self-criticism,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29956,self-criticism,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29957,self-defeating,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
29958,self-destructive,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29959,self-determination,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
29960,self-determination,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
29961,self-examination,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
29962,self-examination,0,neutral,noun,weaksubj,False,priorpolarity,No,mpqa
29963,self-humiliation,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29964,self-humiliation,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
29965,self-interest,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
29966,self-interest,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
