id,phrase,polarityn,polarity,partofspeech,subjecttype,stemmed,polaritytype,personality,source
24698,big-headed,-1,negative,adj,strongsubj,False,,Yes,harvard
24699,bone-idle,-1,negative,adj,strongsubj,False,,Yes,harvard
24700,bossy,-1,negative,adj,strongsubj,False,,Yes,harvard
24701,cantankerous,-1,negative,adj,strongsubj,False,,Yes,harvard
24702,changeable,-1,negative,adj,strongsubj,False,,Yes,harvard
24703,clinging,-1,negative,adj,strongsubj,False,,Yes,harvard
24704,conservative,-1,negative,adj,strongsubj,False,,Yes,harvard
24705,cunning,-1,negative,adj,strongsubj,False,,Yes,harvard
24706,detached,-1,negative,adj,strongsubj,False,,Yes,harvard
24707,finicky,-1,negative,adj,strongsubj,False,,Yes,harvard
24708,flirtatious,-1,negative,adj,strongsubj,False,,Yes,harvard
24709,flirty,-1,negative,adj,strongsubj,False,,Yes,harvard
24710,grumpy,-1,negative,adj,strongsubj,False,,Yes,harvard
24711,interfering,-1,negative,adj,strongsubj,False,,Yes,harvard
24712,Machiavellian,-1,negative,adj,strongsubj,False,,Yes,harvard
24713,materialistic,-1,negative,adj,strongsubj,False,,Yes,harvard
24714,narrow-minded,-1,negative,adj,strongsubj,False,,Yes,harvard
24715,overcritical,-1,negative,adj,strongsubj,False,,Yes,harvard
24716,overemotional,-1,negative,adj,strongsubj,False,,Yes,harvard
24717,parsimonious,-1,negative,adj,strongsubj,False,,Yes,harvard
24718,patronizing,-1,negative,adj,strongsubj,False,,Yes,harvard
24719,possessive,-1,negative,adj,strongsubj,False,,Yes,harvard
24720,pusillanimous,-1,negative,adj,strongsubj,False,,Yes,harvard
24721,quick-tempered,-1,negative,adj,strongsubj,False,,Yes,harvard
24722,self-centred,-1,negative,adj,strongsubj,False,,Yes,harvard
24723,self-indulgent,-1,negative,adj,strongsubj,False,,Yes,harvard
24724,stingy,-1,negative,adj,strongsubj,False,,Yes,harvard
24725,tactless,-1,negative,adj,strongsubj,False,,Yes,harvard
24726,untidy,-1,negative,adj,strongsubj,False,,Yes,harvard
24727,weak-willed,-1,negative,adj,strongsubj,False,,Yes,harvard
24728,boorish,-1,negative,adj,strongsubj,False,,Yes,harvard
24729,creepy,-1,negative,adj,strongsubj,False,,Yes,harvard
24730,flippant,-1,negative,adj,strongsubj,False,,Yes,harvard
24731,furtive,-1,negative,adj,strongsubj,False,,Yes,harvard
24732,guarded,-1,negative,adj,strongsubj,False,,Yes,harvard
24733,unsuitable,-1,negative,adj,strongsubj,False,,Yes,harvard
24734,talkative,-1,negative,adj,strongsubj,False,,Yes,harvard
24735,abandoned,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24736,abandonment,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24737,aberration,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24738,aberration,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24739,abhorred,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24740,abhorrence,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24741,abhorrent,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24742,abhorrently,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24743,abhors,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24744,abhors,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24745,abidance,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24746,abidance,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24747,abject,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24748,abjectly,-1,negative,adverb,strongsubj,False,priorpolarity,No,mpqa
24749,abilities,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24750,ability,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24751,able,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24752,abnormal,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24753,abominable,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24754,abominably,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24755,abomination,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24756,above,1,positive,anypos,weaksubj,False,priorpolarity,No,mpqa
24757,above-average,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24758,abrasive,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24759,abrupt,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24760,absence,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24761,absent-minded,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24762,absolute,0,neutral,adj,strongsubj,False,priorpolarity,No,mpqa
24763,absolutely,0,neutral,adj,strongsubj,False,priorpolarity,No,mpqa
24764,absorbed,0,neutral,verb,weaksubj,False,priorpolarity,No,mpqa
24765,absurd,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24766,absurdity,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24767,absurdly,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24768,absurdness,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24769,abundant,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24770,abundance,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24771,abuse,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24772,abuse,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24773,abuses,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24774,abuses,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24775,abusive,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24776,abysmal,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24777,abysmally,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24778,abyss,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24779,acceptance,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24780,acceptable,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24781,accessible,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24782,accidental,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24783,acclaim,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24784,acclaimed,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24785,accolade,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24786,accolades,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24787,accommodative,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24788,accomplishment,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24789,accomplishments,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24790,accordance,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24791,accordantly,1,positive,adverb,weaksubj,False,priorpolarity,No,mpqa
24792,accountable,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24793,accurate,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24794,accurately,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24795,accursed,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24796,accusation,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24797,accusation,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24798,accusations,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24799,accusations,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24800,accuses,-1,negative,verb,strongsubj,False,priorpolarity,No,mpqa
24801,accusing,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24802,accusingly,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24803,acerbic,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24804,acerbically,-1,negative,adverb,strongsubj,False,priorpolarity,No,mpqa
24805,achievable,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24806,achievement,1,positive,anypos,weaksubj,False,priorpolarity,No,mpqa
24807,achievements,1,positive,anypos,weaksubj,False,priorpolarity,No,mpqa
24808,acknowledgement,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24809,acrid,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24810,acridly,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24811,acridness,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24812,acrimonious,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24813,acrimoniously,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24814,acrimony,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24815,active,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24816,activist,0,neutral,adj,strongsubj,False,priorpolarity,No,mpqa
24817,activist,0,neutral,noun,strongsubj,False,priorpolarity,No,mpqa
24818,actual,0,neutral,anypos,strongsubj,False,priorpolarity,No,mpqa
24819,actuality,0,neutral,anypos,strongsubj,False,priorpolarity,No,mpqa
24820,actually,0,neutral,anypos,strongsubj,False,priorpolarity,No,mpqa
24821,acumen,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24822,adamant,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24823,adamantly,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24824,adaptable,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24825,adaptability,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24826,adaptive,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24827,addict,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24828,addiction,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24829,adept,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24830,adeptly,1,positive,adverb,weaksubj,False,priorpolarity,No,mpqa
24831,adequate,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24832,adherence,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24833,adherent,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24834,adhesion,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24835,admirable,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24836,admirer,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24837,admirable,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
24838,admirably,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
24839,admiration,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24840,admiring,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24841,admiringly,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24842,admission,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24843,admission,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24844,admonition,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24845,adolescents,0,neutral,adj,strongsubj,False,priorpolarity,No,mpqa
24846,adolescents,0,neutral,noun,strongsubj,False,priorpolarity,No,mpqa
24847,adorable,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24848,adored,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24849,adorer,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24850,adoring,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24851,adoringly,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
24852,adrift,-1,negative,anypos,weaksubj,False,priorpolarity,No,mpqa
24853,adroit,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24854,adroitly,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24855,adulatory,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24856,adulterated,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24857,adulteration,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24858,advanced,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24859,advantage,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24860,advantage,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24861,advantageous,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24862,advantages,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24863,advantages,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24864,adventure,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24865,adventure,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24866,adventuresome,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24867,adventurism,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24868,adventurous,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24869,adversarial,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24870,adverse,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24871,adversity,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24872,advice,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24873,advice,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24874,advisable,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24875,advocacy,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24876,affable,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24877,affability,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24878,affably,1,positive,adverb,weaksubj,False,priorpolarity,No,mpqa
24879,affectation,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24880,affected,0,neutral,adj,strongsubj,False,priorpolarity,No,mpqa
24881,affection,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24882,affection,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24883,affectionate,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24884,affinity,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24885,affirmation,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24886,affirmation,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24887,affirmative,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24888,affliction,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24889,afflictive,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24890,affluent,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24891,affluence,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24892,affordable,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24893,affront,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24894,afloat,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24895,afraid,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24896,against,-1,negative,anypos,weaksubj,False,priorpolarity,No,mpqa
24897,aggravating,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24898,aggravation,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24899,aggression,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24900,aggression,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24901,aggressiveness,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24902,aggressor,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24903,aggrieved,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24904,aghast,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24905,agile,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24906,agilely,1,positive,adverb,weaksubj,False,priorpolarity,No,mpqa
24907,agility,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24908,agitated,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24909,agitation,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24910,agitator,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24911,agonies,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24912,agonizing,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24913,agonizingly,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24914,agony,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24915,agreeable,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24916,agreement,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24917,agreement,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24918,ail,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24919,ailment,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24920,aimless,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24921,airs,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24922,airs,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24923,alarm,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24924,alarmed,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24925,alarming,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24926,alarmingly,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24927,alert,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
24928,alienated,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24929,alienation,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24930,all-time,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
24931,all-time,0,neutral,noun,weaksubj,False,priorpolarity,No,mpqa
24932,allegation,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24933,allegations,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24934,allege,-1,negative,verb,weaksubj,False,priorpolarity,No,mpqa
24935,allegations,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24936,allergic,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24937,alliance,0,neutral,anypos,strongsubj,False,priorpolarity,No,mpqa
24938,alliances,0,neutral,adj,strongsubj,False,priorpolarity,No,mpqa
24939,alliances,0,neutral,noun,strongsubj,False,priorpolarity,No,mpqa
24940,allowable,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24941,allure,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24942,alluring,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
24943,alluringly,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
24944,allusion,0,neutral,adj,strongsubj,False,priorpolarity,No,mpqa
24945,allusion,0,neutral,noun,strongsubj,False,priorpolarity,No,mpqa
24946,allusions,0,neutral,anypos,strongsubj,False,priorpolarity,No,mpqa
24947,almighty,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24948,aloof,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24949,altercation,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24950,altogether,0,neutral,anypos,strongsubj,False,priorpolarity,No,mpqa
24951,altruist,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24952,altruistic,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24953,altruistically,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24954,amazed,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24955,amazement,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24956,amazing,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24957,amazingly,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
24958,ambiguous,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24959,ambiguity,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24960,ambitious,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24961,ambitious,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24962,ambivalent,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24963,ambivalent,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24964,ambush,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
24965,amenable,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24966,amenity,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24967,amiability,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24968,amiabily,1,positive,adverb,strongsubj,False,priorpolarity,No,mpqa
24969,amiable,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24970,amicability,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24971,amicable,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24972,amicably,1,positive,adverb,strongsubj,False,priorpolarity,No,mpqa
24973,amiss,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
24974,amity,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24975,amity,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24976,amnesty,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24977,amour,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24978,ample,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24979,amply,1,positive,adverb,weaksubj,False,priorpolarity,No,mpqa
24980,amusement,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24981,amusement,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
24982,amusing,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24983,analytical,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
24984,anarchism,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24985,anarchist,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24986,anarchistic,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24987,anarchy,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24988,anemic,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
24989,angel,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
24990,angelic,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
24991,anger,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24992,anger,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24993,angry,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
24994,anguish,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24995,annihilation,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24996,animated,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
24997,animosity,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24998,annoyance,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
24999,annoyed,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25000,annoying,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25001,annoyingly,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
25002,anomalous,-1,negative,adj,weaksubj,False,priorpolarity,No,mpqa
25003,anomaly,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
25004,antagonism,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25005,antagonist,-1,negative,noun,weaksubj,False,priorpolarity,No,mpqa
25006,antagonistic,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25007,anti-,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25008,anti-American,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25009,anti-American,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25010,anti-Israeli,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25011,anti-Israeli,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25012,anti-Semites,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25013,anti-Semites,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25014,anti-US,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25015,anti-US,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25016,anti-occupation,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25017,anti-occupation,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25018,anti-proliferation,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25019,anti-proliferation,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25020,anti-social,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25021,anti-white,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25022,anti-white,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25023,antipathy,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25024,antiquated,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25025,antithetical,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25026,antithetical,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25027,anxieties,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25028,anxiety,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25029,anxious,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
25030,anxiously,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
25031,anxiousness,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25032,apathetic,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25033,apathetic,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25034,apathetically,-1,negative,adverb,strongsubj,False,priorpolarity,No,mpqa
25035,apathy,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25036,apocalypse,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25037,apocalyptic,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25038,apologist,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25039,apologist,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25040,apologists,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25041,apologists,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25042,apostle,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
25043,apostle,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
25044,apotheosis,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
25045,apotheosis,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
25046,appall,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25047,appalled,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25048,appalling,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25049,appallingly,-1,negative,anypos,strongsubj,False,priorpolarity,No,mpqa
25050,appeal,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
25051,appeal,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
25052,appealing,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
25053,appearance,0,neutral,adj,weaksubj,False,priorpolarity,No,mpqa
25054,appearance,0,neutral,noun,weaksubj,False,priorpolarity,No,mpqa
25055,appreciable,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
25056,appreciation,1,positive,adj,strongsubj,False,priorpolarity,No,mpqa
25057,appreciation,1,positive,noun,strongsubj,False,priorpolarity,No,mpqa
25058,appreciative,1,positive,anypos,strongsubj,False,priorpolarity,No,mpqa
25059,apprehension,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25060,apprehensions,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25061,apprehensions,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25062,apprehensive,-1,negative,adj,strongsubj,False,priorpolarity,No,mpqa
25063,apprehensive,-1,negative,noun,strongsubj,False,priorpolarity,No,mpqa
25064,appropriate,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
25065,approval,1,positive,noun,weaksubj,False,priorpolarity,No,mpqa
25066,apt,1,positive,adj,weaksubj,False,priorpolarity,No,mpqa
25067,aptly,1,positive,adverb,weaksubj,False,priorpolarity,No,mpqa
